,index_x,Final_Tags
5,"Pimantachus Diospa rantinpi rimaq Isaiaspa rimasqanqa kaymi. Isaiasqa nirqanmi: ‘Ch'inniqpin huk runa kunkayoqta waqyakun: “Señorpa ñanninta allichaychis, Purinankunatapas siwkta ruwaychis,” nispan,’ nispa. (Isa. 40:3)",MAT-2-3
7,"Juanqa, kamelloq chukchanmanta p'achawanmi p'achakurqan. Uywaq qaranmanta chumpiwantaq sinturantapas chumpikurqan. Hinallataq langostata, k'ita wanqoyroq misk'intawan ima mikhurqan.",MAT-2-4
9,"Hinan Jerusalén llaqtamantawan, llapan Judea probinsiamantawan, llapan Jordán mayuq muyuriqnintinmantawan, Juanpa kasqanman lloqsimurqanku.",MAT-2-5
11,"Huchankuta willakapusqankuman hinataqmi, Jordán mayupi, Juanpa bautisasqan karqanku.",MAT-2-6
13,"Askha fariseokuna, hinallataq saduseokunan, Juanpa bautisasqan cheqasman hamurqanku. Chayta rikuspanmi, Juanqa paykunata nirqan: —¡Machaqway miraykuna! ¿Hamuq k'arak phiñakuymanta ayqenaykichistari, pitaq yachachirqasunkichis?",MAT-2-7
15,Yuyayman kutirikusqaykichis ruruykunata rikuchikuychis.,MAT-2-8
17,"Amataq sonqoykichis ukhupi niychischu: ‘Abrahamqa taytanchismi kapuwanchis,’ nispaqa. Ñoqan ichaqa, niykichis: ‘Diosqa Abrahampaq wawakunataqa kay rumikunamantapas hatarichiyta atinmi,’ nispay.",MAT-2-9
19,"Chaymantapas ñan hachaqa mallkiq saphinpi churasqaña kashan. Chayrayku, llapa mana allin ruruq mallkiqa wit'usqa kanqa. Hinaspataq ninaman wikch'uykusqa kanqa.",MAT-2-10
21,"Yuyayman kutirikunaykichispaqmi, ñoqaqa cheqapaq unupi bautisaykichis. Qhepayta hamuqpatan ichaqa, mana husut'allantapas apanaypaq hinachu kani. Payqa ñoqamanta aswan atiyniyoqmi. Paymi Santo Espiritupi, ninapi, ima bautisasunkichis.",MAT-2-11
23,"Trigo wayrachinanpas makinpiñan kashan. Hinan llapan erata pichanqa. Trigontataq taqeman waqaychapunqa. Pajantataq ichaqa, mana thasnuy atina ninapi ruphachipunqa.",MAT-2-12
25,"Hinaqtinmi Jesusqa, Juanpa bautisasqan kananpaq, Galilea probisiamanta, Jordán mayuman, maypichus Juanpa kashasqan cheqasman chayarqan.",MAT-2-13
27,"Juantaq ichaqa, payta hark'akuspa mana munarqanchu. Nirqantaq: —¿Ñoqa qanpa bautisasqayki kanay kashaqtinchu, ‘bautisaway,’ nispa niwanki? nispan.",MAT-2-14
29,"Jesustaqmi ichaqa, payman kutichirqan: ―Tukuy chanin kaqtan hunt'ananchispuni. Chayrayku, kunan bautisallaway, nispa. Hinaqtinmi Juanqa, Jesusta manaña hark'akurqanñachu.",MAT-2-15
31,"Jesuspa bautisakusqan qhepatataq unumanta lloqsimushaqtin, chay kasqan ratupi hanaq pacha kicharikurqan. Hinan chayllaman Diospa Espiritunta, palomata hina paypa patanman uraykamushaqta rikurqan.",MAT-2-16
33,"Chayllamanmi, huk kunka hanaq pachamanta kay hina nimushaq uyarikurqan: —Munasqay Churiyqa kaymi. Paypin anchatapuni kusikuni, nispa.Copyrighted Material",MAT-2-17
1,"Hinaqtinmi Jesusqa, saqraq wateqasqan kananpaq, ch'inniqman Espírituq pusasqan karqan.",MAT-3-1
3,"Hinan payqa, tawa chunka p'unchayta, hinallataq tawa chunka tutata ayunarqan. Chay qhepatataq yarqachikurqan.",MAT-3-2
5,"Hinan wateqaqqa chimpaykuspa, payta nirqan: —Sichus Diospa Churin kanki chayqa, kay rumikunata t'antaman tukunanpaq niy, nispa.",MAT-3-3
7,"Jesustaq kutichispa nirqan: —Qelqasqan kashan: ‘Manan t'antallawanchu runaqa kawsanqa. Aswanpas Diospa siminmanta lloqsimuq llapan simikunawanmi kawsanqa,’ nispa. (Deut. 8:3)",MAT-3-4
9,"Hinaqtinmi saqraqa, ch'uya llaqtaman Jesusta aparqan. Dios yupaychana wasiq kantun patapitaq sayaykuchirqan.",MAT-3-5
11,"Hinan saqraqa Jesusta nirqan: —Sichus Diospa Churin kanki chayqa, urayman, wikch'uykukuy. Qelqasqan kashan: ‘Angelninkunatan qanpa kasqaykiman kamachimunqa. Hinan chakiykita mana rumiman takakunaykipaq makinkupi hap'isunkiku, nispan,’ nispa. (Sal. 91:11-12)",MAT-3-6
13,"Jesustaq, payman kutichispa nirqan: —Qelqasqallataqmi kashan: ‘Aman Señor Diosniykitaqa wateqankichu,’ nispa. (Deut. 6:16)",MAT-3-7
15,"Wakmantan saqraqa, ancha alto orqo pataman Jesusta apallarqantaq. Hinaspan kay pachaq lliw qhapaq kaynintawan, hatun kaynintawan qhawarichirqan.",MAT-3-8
17,"Hinan saqraqa payta nirqan: —Sichus ñawpaqeypi qonqoriykukuspa yupaychawanki chayqa, tukuy kay imaymanakunatan qosayki, nispa.",MAT-3-9
19,"Hinaqtinmi Jesusqa payta nirqan: Satanás, qayllaymanta anchhuriy. —Qelqasqan kashan: ‘Señor Diosllaykitan yupaychanki, Pay sapallantataqmi serbinkipas,’ nispan, nispa. (Deut. 6:13)",MAT-3-10
21,"Hinan saqraqa payta saqepurqan. Chayllamanmi, angelkuna hamuspanku, Jesusta serbirqanku.",MAT-3-11
23,"Juanpa preso kashasqanta uyarispantaqmi, Jesusqa Galilea probinsiaman kutipurqan.",MAT-3-12
25,"Nazaret llaqtata saqepuspantaqmi, Zabulón suyuq, hinallataq Neftalí suyuq kantun qochapata Kapernaum llaqtapi tiyapurqan.",MAT-3-13
27,Diospa rantinpi rimaq Isaiaspa nisqan hunt'akunanpaqmi chaytaqa ruwarqan.,MAT-3-14
29,"Isaiasqa nirqanmi: ‘Zabulonpa suyun, Neftalipa suyun, Jordán mayuq wak ladonpi lamar qochaman riq ñan, Mana-judío runakunaq tiyanan Galilea probinsia, uyariychis.",MAT-3-15
31,"Laqha-tutayaqllapi tiyaq llaqtan hatun k'anchayta rikun. Chay suyukunapi, wañuy llanthu ukhupi tiyaqkunamantaqmi, k'anchayqa k'anchariykun,’ nispa. (Isa. 9:1)",MAT-3-16
33,"Chaymantapachan, Jesusqa kay hinata nispan willayta qallarirqan: —Hanaq pacha qhapaq suyun sispaykamunña. Chayrayku yuyayman kutirikuychis, nispan.",MAT-3-17
35,"Galilea qochaq kantunta pasashaspanmi, Jesusqa iskay runakunata, Pedro sutiwan sutichasqa Simontawan, wawqen Andrestawan rikurqan. Paykunaqa, wawqentinmi karqanku. Hinallataq, challwaqkunan karqanku. Chaymi challwana llikankuta qochaman wikch'uykusharqanku.",MAT-3-18
37,"Jesustaq paykunata nirqan: —Qhepayta qatikamuwaychis, hinan runakuna challwaq kanaykichispaq ruwasaykichis, nispa.",MAT-3-19
39,"Hinaqtinmi paykunaqa, kasqan ratupacha challwana llikankuta saqerparispa qatikurqanku.",MAT-3-20
41,"Chaymanta aswanta rispantaq, wak iskay runakunata rikullarqantaq. Paykunapas wawqentinmi kallarqankutaq. Paykunaqa, Zebedeoq churin Jakobo, hinallataq wawqen Juanpiwan iman karqanku. Barkapin, taytanku Zebedeopiwan challwana llikankuta sursisharqanku. Hinan Jesusqa, paykunata waqyarqan.",MAT-3-21
43,"Kasqan ratupachataqmi, paykunaqa barkatawan, taytankutawan saqerparispanku qatikurqanku.",MAT-3-22
45,"Hinan Jesusqa, llapan Galilea probinsiantinta, judío runakunaq huñukunanku wasikunapi qhapaq suyumanta allin willakuyta willaspa purirqan. Hinallataq llapan onqosqakunatapas, nanayniyoqkunatapas qhaliyachirqan.",MAT-3-23
47,"Reqsichikuynintaqmi tukuy Siria suyuntinpi ch'eqerirqan. Hinan imaymana onqoyniyoqkunata, nanaypa ñak'arichisqankunata, supayniyoqkunata, yuyay chinkayniyoqkunata, mana kuyuriq such'ukunata Jesusman apamurqanku. Paytaqmi llapankuta qhaliyachirqan.",MAT-3-24
49,"Askha runakunataqmi, Galilea probinsiamanta, Dekápolis probinsiamanta, Jerusalén llaqtamanta, Judea probinsiamanta, Jordán mayuq wak ladonkunamanta ima qatikurqanku.Copyrighted Material",MAT-3-25
1,"Askha runakunata rikuspantaqmi, Jesusqa orqo pataman wicharqan. Chaypi tiyaykuqtintaqmi, yachachisqankunaqa payman asuykurqanku.",MAT-4-1
3,"Hinan Jesusqa, yachachiyta qallarirqan.",MAT-4-2
5,"Nirqantaq: —Hanaq pacha qhapaq suyuqa, espiritupi wakchakunaqmi. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-3
7,"Waqaqkunaqa, sonqochaytan chaskinqaku. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-4
9,"Llamp'u sonqoyoqkunaqa, hallp'a pachatan tupaqninkupaq chaskinqaku. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-5
11,"Chanin kaqmanta yarqachikuqkunapas, ch'akichikuqkunapas saksachisqan kanqaku. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-6
13,"Yanapaykukuqkunaqa, yanapaykusqan kanqaku. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-7
15,"Ch'uya sonqoyoqkunaqa, Diostan rikunqaku. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-8
17,"Thak kayman churaqkunaqa, Diospa wawan nispa sutichasqan kanqaku. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-9
19,"Hanaq pacha qhapaq suyuqa, chaninrayku qatiykachasqakunaqmi. Chayraykun paykunaqa, kusisamiyoq kanku.",MAT-4-10
21,"Ñoqaraykuchus runakuna k'amisunkichis, qatiykachasunkichis, hinallataq qankunaq kontraykichispi tukuy imaymana mana allinta llullakuspa ninqaku chayqa, kusisamiyoqmi kankichis.",MAT-4-11
23,"Chay hinatan qankunamanta ñawpaqta hamuq Diospa rantinpi rimaqkunatapas qatiykacharqanku. Chayrayku hanaq pachapi hatun premioykichis kasqanrayku kusikuychis, hinallataq q'ochukuychis, nispa.",MAT-4-12
25,"Nillarqantaqmi: —Qankunan hallp'a pachapi kachiqa kankichis. Ichaqa kachitaqchus q'aymayapunman chayqa, ¿imawantaq kachichasqari kanqa? Chay kachiqa, manan imapaqpas balenñachu, aswanpas hawaman wikch'upuspa runakunaq sarunallankupaqñan kapunqa, nispa.",MAT-4-13
27,"Jesusqa nillarqantaqmi: —Qankunan kay pachapi k'anchayqa kankichis. Huk orqo patapi kashaq llaqtaqa, manan pakasqa kayta atinmanchu.",MAT-4-14
29,"Manallataqmi lamparata hap'ichispaqa, raki ukhumanchu churakun. Aswanpas lamparata churana patamanmi llapan wasipi kaqkunata k'anchananpaq churakun.",MAT-4-15
31,"Chay hinatayá k'anchayniykichisqa runakunaq ñawpaqenpi k'ancharichun. Hinan allin ruwasqaykichiskunata rikuspanku, hanaq pachapi kashaq Yayaykichista yupaychanqaku, nispa.",MAT-4-16
33,"Nillarqantaqmi: —Kamachikuy Simita, otaq Diospa rantinpi rimaqkunata yanqayachinaypaq hamusqaytaqa ama yuyaychischu. Manan yanqayachiqchu, aswanpas hunt'anaypaqmi hamurqani.",MAT-4-17
35,"Kaytaqa cheqaqtan niykichis: ‘Hanaq pachapas, kay pachapas manaraq p'uchukanankamaqa, Kamachikuy Simimanta manan imallapas chinkanqachu. Huk huch'uy qelqachallanpas, nitaq qelqaq huk seq'echallanpas llapan hunt'akunankamaqa manapunin chinkanqachu,’ nispay.",MAT-4-18
37,"Chay hinaqa, pillapas kay kamachikuykunamanta huk huch'uy kamachikuyllantapas p'akispa, chay hinata runakunaman yachachiqqa kanmanmi. Sichus chay hina kanman chayqa, chay runaqa, hanaq pacha qhapaq suyupiqa huch'uyllapaq qhawarisqan kanqa. Pillapas Kamachikuy Simikunata hunt'aspa yachachiqtaqmi ichaqa, hanaq pacha qhapaq suyupiqa hatunpaq qhawarisqa kanqa.",MAT-4-19
39,"Niykichismi: ‘Sichus chanin kayniykichis, kamachikuy simita yachachiqkunaqmanta, hinallataq fariseokunaqmanta, mana aswan allinchu kanqa chayqa, manapunin hayk'aqpas hanaq pacha qhapaq suyumanqa haykunkichischu,’ nispay, nispa.",MAT-4-20
41,"Jesusqa nillarqantaqmi: —Kamachikuy simita yachachiqkunaqa, ñawpa runakunamanmi kay hinata yachachirqanku: ‘Aman wañuchinkichu. Pipas wañuchiqqa chaninchanapaq huchachasqapunin kanqa,’ nispanku. (Éxo. 20:13) Chaytaqa uyarirqankichismi.",MAT-4-21
43,"Ñoqataq ichaqa niykichis: ‘Pillapas wawqenpa kontranpi phiñakuqqa, chaninchanapaq huchachasqapunin kanqa. Hinallataq, pipas wawqenta ninman: “Mana yuyayniyoq,” nispa chayqa, Konsilio Sanedrinpaq huchachasqapunin kanqa. Hinallataq pipas wawqenta ninman: “Waq'a,” nispa chayqa, nina yawray infiernopaq huchachasqapunin kanqa,’ nispay.",MAT-4-22
45,"Chay hinaqa, altarman ofrendaykita apamushaspa, chaypitaq wawqeykiwan imallapas qan kontra kasqanta yuyariruwaqmi.",MAT-4-23
47,"Sichus chay hina kanman chayqa, chay altarpa ñawpaqellanman ofrendaykita saqeykuy. Hinaspataq wawqeykiwanraq ñawpaqtaqa allipunamuy. Chaymantaña kutimuspayki, ofrendaykitaqa churanki.",MAT-4-24
49,"Awqaykiwan ñanpi kashaspallaraq, usqhayllaman allipunamuy. Mana hinaqa, awqaykin chaninchaqman apasunkiman. Chaninchaqtaq guardiaman apasunkiman, hinaspataq karselpi rikukuwaq.",MAT-4-25
51,"Cheqaqtan niyki: ‘Llapachallanta pagapunaykikaman, mana chaymantaqa lloqsimunkichu,’ nispay, nispa.",MAT-4-26
53,"Nillarqantaqmi. —Kamachikuy simita yachachiqkunaqa, kay hinatan yachachirqanku: ‘Aman wasanchankichu,’ nispanku. (Éxo. 20:14) Chaytaqa uyarirqankichismi.",MAT-4-27
55,"Ñoqan ichaqa niykichis: ‘Pillapas huk warmita munapayaspa qhawarin chayqa, ñan paywan sonqonpi wasancharunña,’ nispay.",MAT-4-28
57,"Llapan aycha kuerpoykiq infiernoman wikch'uykusqa kananmantaqa, aycha kuerpoykiq huk partin chinkayninmi aswan allinqa kanman. Chayrayku, sichus paña ñawiyki huchaman urmachisunkiman chayqa, horqoruy, hinaspa wikch'upuy.",MAT-4-29
59,"Hinallataq, llapan aycha kuerpoykiq infiernoman wikch'uykusqa kananmantaqa, aycha kuerpoykiq huk partin chinkayninmi aswan allinqa kanman. Chayrayku, sichus paña makiyki huchaman urmachisunkiman chayqa, wit'urpariy, hinaspa wikch'upuy, nispa.",MAT-4-30
61,"Jesusqa nillarqantaqmi: —Kamachikuy simita yachachiqkunaqa nillarqankutaqmi: ‘Pillapas warminmanta t'aqakuqqa, t'aqanakuy kartata qochun,’ nispanku. (Deut. 24:1)",MAT-4-31
63,"Ñoqan ichaqa niykichis: ‘Warmin mana qhellipi puriq kashaqtin t'aqakuqqa wasanchachinmi. Hinallataq t'aqakusqa warmiwan kasarakuqpas, wasanchallantaqmi,’ nispay, nispa.",MAT-4-32
65,"Nillarqantaqmi: —Hinallataqmi, kamachikuy simita yachachiqkunaqa ñawpa runakunaman yachachirqanku: ‘Aman yanqamanta hurankichu. Aswanpas Señorman hurasqaykikunataqa hunt'ankipunin,’ nispanku. (Deut. 23:21-23) Chaytaqa uyarirqankichismi.",MAT-4-33
67,Ñoqan ichaqa niykichis: ‘Aman imaynallanmantapas hurankichischu. Hanaq pachaqa Diospa tiyanan kasqanraykupas amapunin hurankichischu.,MAT-4-34
69,"Hallp'a pachapas, Diospa chakinpa samaykunanmi. Chayrayku hallp'a pacharaykupas amapuni hurankichischu. Hinallataq Jerusalén llaqtapas, hatun Reypa llaqtanmi. Chayrayku Jerusalén llaqtaraykupas amapuni hurankichischu.",MAT-4-35
71,"Manan ch'ulla chukchallatapas yuraqyachiyta, nitaq yanayachiyta atiwaqchu. Chayrayku umaykiraykupas amapuni hurankichu,’ nispay.",MAT-4-36
73,"Rimakuyniykichispi ichaqa, arí nisqaykichisqa, arí nisqallapuni kachun. Hinallataq manan nisqaykichispas, manan nisqallapuni kachun. Chaymanta aswan kaqkunaqa, mana allin kaqmantan hamun, nispa.",MAT-4-37
75,"Jesusqa nillarqantaqmi: —Kamachikuy simita yachachiqkunan kay hinata yachachirqanku: ‘Ñawita horqoqpaqa, ñawinmi horqosqallataq kanqa, hinallataq kiruta horqoqpapas, kirunmi horqosqallataq kanqa,’ nispanku. (Éxo. 21:24; Leb. 24:20; Deut. 19:21) Chaytaqa uyarirqankichismi.",MAT-4-38
77,"Ñoqan ichaqa niykichis: ‘Aman millay runamanqa churapakunkichischu, aswanqa pipas paña uyaykipi ch'aqlasunki chayqa, huk kaq uyaykitapas payman kutirillaytaq.",MAT-4-39
79,"Hinallataq pipas chaninchanaman apaspa, p'achaykita qechusunkiman chayqa, kapaykitapas qoykapullaytaq.",MAT-4-40
81,"Pipas huk millata q'epinta apanaykipaq qatirisunki chayqa, iskay millatawan apay.",MAT-4-41
83,"Pipas mañakusunki chayqa, qoykuy. Hinallataq pipas nisunki: ‘Manuykuway,’ nispa chayqa, ama mananchaychu,’ nispay.",MAT-4-42
85,"Nillarqantaqmi: —Kamachikuy simita yachachiqkunan kay hinata yachachillarqankutaq: ‘Runamasiykitan munakunki, awqaykitataq cheqnikunki, nispanku. (Leb. 19:18) Chaytaqa uyarirqankichismi.",MAT-4-43
87,"Ñoqataq ichaqa niykichis: ‘Awqaykichiskunata munakuychis, ñakaqniykichiskunatataq saminchaychis, cheqnikuqniykichiskunapaqtaq allinta ruwaychis, hinallataq ñak'arichiqniykichiskunapaqpas, qatiykachaqniykichiskunapaqpas Diosmanta mañapuychis.",MAT-4-44
89,"Chay hinata ruwaspan, hanaq pachapi kashaq Yayaykichispa wawankunaqa kankichis. Paymi allin runakunapaqpas, mana allin runakunapaqpas intinta lloqsichimun. Hinallataqmi chanin runakunapaqpas, mana chanin runakunapaqpas parataqa parachimun,’ nispay.",MAT-4-45
91,"Sichus munakuqnillaykichista munakunkichis chayqa, ¿ima chanin premioyoqtaq kankichisri? ¿Manachu tributo qolqe kobraqkunapas chay hinallatataq ruwanku?",MAT-4-46
93,"Sichus wawqeykichiskunallata napaykunkichis chayqa, ¿imatawantaq aswantari ruwankichis? ¿Manachu tributo qolqe kobraqkunapas chay hinallatataq ruwanku?",MAT-4-47
95,"Chay hinaqa, imaynan hanaq pachapi kashaq Yayaykichisqa k'apakpuni, chay hinallataq qankunapas k'apakpuni kaychis, nispa.Copyrighted Material",MAT-4-48
1,"Jesusqa nillarqantaqmi: —Runakunaq ñawpaqenpi rikunallankupaq yanapaykuy ruwayniykichistaqa, qankuna kikiykichis allinta qhawakuychis. Mana hinaqa, hanaq pachapi kashaq Yayaykichismantan premionta mana chaskiwaqchischu.",MAT-5-1
3,"Limosnata qospaykiqa, ama iskay-uyakuna hinaqa ñawpaqeykipi kornetata tokachiychu. Paykunaqa, llaqta kallekunapi, hinallataq judío runakunaq huñukunanku wasikunapi, runakunaq hatunchasqan kayta munaspallankun, chaytaqa ruwanku. Amayá chay hinataqa ruwaychischu. Cheqaqtan niykichis: ‘Chay hina ruwaqkunaqa, ñan premioyoqña kanku,’ nispay.",MAT-5-2
5,"Limosnata qan qoqtiykiqa, ama paña makiykiq ruwasqanta lloq'e makiyki yachachunchu.",MAT-5-3
7,"Chay hinapin, limosna qosqaykiqa, pakallapi ruwasqa kanqa. Hinan pakallapi rikuq Yayaykiqa, premioykita sut'ipi qopusunki, nispa.",MAT-5-4
9,"Nillarqantaqmi: —Diosman parlaspaykiqa, ama iskay-uyakuna hinachu kaychis. Paykunaqa, judío runakunaq huñukunanku wasikunapipas, llaqta kallekunaq eskinankunapipas runakunaq rikusqan kanankupaqmi sayaykuspanku, Diosman parlayta munanku. Cheqaqtan niykichis: ‘Ñan paykunaqa, premioyoqña kanku,’ nispay.",MAT-5-5
11,"Qantaq ichaqa, Diosman parlaspaykiqa, wasiyki ukhuman haykuy. Hinaspataq punkuta wisq'aspayki, pakallapi kashaq Yayaykiman parlaykuy. Hinan pakallapi rikuq Yayaykiqa, sut'ipi premioykita qopusunki.",MAT-5-6
13,"Diosman parlaspaykichisqa, ama mana-judío runakuna hina kaq simikunallatachu thawtiychis. Paykunaqa, askha rimasqankuwanmi uyarisqa kanankupaq yuyanku.",MAT-5-7
15,"Yayaykichisqa, imakunachus pisisqasunkichista, manaraq mañakushaqtiykichismi yachanña. Chayrayku, amapuni chay mana-judío runakuna hinaqa ruwaychischu.",MAT-5-8
17,"Chay hinaqa, kay hinatayá qankuna Diosman parlaychis: ‘Hanaq pachapi kashaq Yayayku, sutiyki yupaychasqa kachun.",MAT-5-9
19,"Qhapaq suyuyki hamuchun. Imaynan hanaq pachapipas munayniyki ruwasqa, chay hinallataq kay pachapipas munayniyki ruwasqa kachun.",MAT-5-10
21,Sapa p'unchay t'antaykuta kunan qowayku.,MAT-5-11
23,"Imaynan ñoqaykupas mana allin ruwawaqniykuta pampachayku, chay hinallatataq mana allin ruwasqaykutapas pampachawayku.",MAT-5-12
25,"Qhapaq suyupas, atiypas, hinallataq k'ancharishaq kaypas, wiñay wiñaypaq qanpapunin. Chayrayku, amapuni wateqaymanqa pusawaykuchu, aswanpas mana allin kaqmanta kacharichiwayku. Ahinapuni kachun,’ nispaykichis.",MAT-5-13
27,"Chay hinaqa, sichus runakunaq mana allin ruwasqasunkichista pampachankichis chayqa, hanaq pachapi kashaq Yayaykichisqa qankunatapas pampachallasunkichistaqmi.",MAT-5-14
29,"Ichaqa, manachus runakunaq mana allin ruwasqasunkichiskunata pampachankichis chayqa, manallataqmi Yayaykichispas huchallikusqaykichiskunata pampachallasunkichistaqchu, nispa.",MAT-5-15
31,"Jesusqa nillarqantaqmi: —Ayunaspaykichisqa, ama iskay-uyakuna hinachu khuyay uyayoqman tukuychis. Paykunaqa ayunasqankuta runakunaman rikuchinankupaqmi, uyankuta umphuyachinku. Cheqaqtan niykichis: ‘Paykunaqa ñan premioyoqña kanku,’ nispay.",MAT-5-16
33,"Qan ayunaspaykitaq ichaqa, umaykita ñaqchakuy, hinallataq uyaykitapas uphakuy.",MAT-5-17
35,"Chay hinapin runakunaqa, ayunasqaykita mana rikunqakuchu. Aswanpas pakallapi kashaq Yayayki rikunqa. Hinan pakallapi rikuq Yayaykiqa, sut'ipi qanman premioykita qopusunki, nispa.",MAT-5-18
