,index_x,Final_Tags
19,"Then Jesus said to him, ``Go, Satan! For it is written, `YOU SHALL WORSHIP THE LORD YOUR GOD, AND SERVE HIM ONLY.'""",MAT-3-10
21,"Then the devil left Him; and behold, angels came and began to minister to Him.",MAT-3-11
23,"Now when Jesus heard that John had been taken into custody, He withdrew into Galilee;",MAT-3-12
25,"and leaving Nazareth, He came and settled in Capernaum, which is by the sea, in the region of Zebulun and Naphtali.",MAT-3-13
27,This was to fulfill what was spoken through Isaiah the prophet:,MAT-3-14
29,"``THE LAND OF ZEBULUN AND THE LAND OF NAPHTALI, BY THE WAY OF THE SEA, BEYOND THE JORDAN, GALILEE OF THE GENTILES--",MAT-3-15
31,"``THE PEOPLE WHO WERE SITTING IN DARKNESS SAW A GREAT LIGHT, AND THOSE WHO WERE SITTING IN THE LAND AND SHADOW OF DEATH, UPON THEM A LIGHT DAWNED.""",MAT-3-16
33,"From that time Jesus began to preach and say, ``Repent, for the kingdom of heaven is at hand.""",MAT-3-17
35,"Now as Jesus was walking by the Sea of Galilee, He saw two brothers, Simon who was called Peter, and Andrew his brother, casting a net into the sea; for they were fishermen.",MAT-3-18
37,"And He said to them, ``Follow Me, and I will make you fishers of men.""",MAT-3-19
39,Immediately they left their nets and followed Him.,MAT-3-20
41,"Going on from there He saw two other brothers, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets; and He called them.",MAT-3-21
43,"Immediately they left the boat and their father, and followed Him.",MAT-3-22
45,"Jesus was going throughout all Galilee, teaching in their synagogues and proclaiming the gospel of the kingdom, and healing every kind of disease and every kind of sickness among the people.",MAT-3-23
47,"The news about Him spread throughout all Syria; and they brought to Him all who were ill, those suffering with various diseases and pains, demoniacs, epileptics, paralytics; and He healed them.",MAT-3-24
49,Large crowds followed Him from Galilee and the Decapolis and Jerusalem and Judea and from beyond the Jordan.Copyrighted Material,MAT-3-25
1,"When Jesus saw the crowds, He went up on the mountain; and after He sat down, His disciples came to Him.",MAT-4-1
3,"He opened His mouth and began to teach them, saying,",MAT-4-2
5,"``Blessed are the poor in spirit, for theirs is the kingdom of heaven.",MAT-4-3
7,"``Blessed are those who mourn, for they shall be comforted.",MAT-4-4
9,"``Blessed are the gentle, for they shall inherit the earth.",MAT-4-5
11,"``Blessed are those who hunger and thirst for righteousness, for they shall be satisfied.",MAT-4-6
13,"``Blessed are the merciful, for they shall receive mercy.",MAT-4-7
15,"``Blessed are the pure in heart, for they shall see God.",MAT-4-8
17,"``Blessed are the peacemakers, for they shall be called sons of God.",MAT-4-9
19,"``Blessed are those who have been persecuted for the sake of righteousness, for theirs is the kingdom of heaven.",MAT-4-10
21,"``Blessed are you when people insult you and persecute you, and falsely say all kinds of evil against you because of Me.",MAT-4-11
23,"``Rejoice and be glad, for your reward in heaven is great; for in the same way they persecuted the prophets who were before you.",MAT-4-12
25,"``You are the salt of the earth; but if the salt has become tasteless, how can it be made salty again? It is no longer good for anything, except to be thrown out and trampled under foot by men.",MAT-4-13
27,``You are the light of the world. A city set on a hill cannot be hidden;,MAT-4-14
29,"nor does anyone light a lamp and put it under a basket, but on the lampstand, and it gives light to all who are in the house.",MAT-4-15
31,"``Let your light shine before men in such a way that they may see your good works, and glorify your Father who is in heaven.",MAT-4-16
33,``Do not think that I came to abolish the Law or the Prophets; I did not come to abolish but to fulfill.,MAT-4-17
35,"``For truly I say to you, until heaven and earth pass away, not the smallest letter or stroke shall pass from the Law until all is accomplished.",MAT-4-18
37,"``Whoever then annuls one of the least of these commandments, and teaches others to do the same, shall be called least in the kingdom of heaven; but whoever keeps and teaches them, he shall be called great in the kingdom of heaven.",MAT-4-19
39,"``For I say to you that unless your righteousness surpasses that of the scribes and Pharisees, you will not enter the kingdom of heaven.",MAT-4-20
41,"``You have heard that the ancients were told, `YOU SHALL NOT COMMIT MURDER' and `Whoever commits murder shall be liable to the court.'",MAT-4-21
43,"``But I say to you that everyone who is angry with his brother shall be guilty before the court; and whoever says to his brother, ` You good-for-nothing,' shall be guilty before the supreme court; and whoever says, `You fool,' shall be guilty enough to go into the fiery hell.",MAT-4-22
45,"``Therefore if you are presenting your offering at the altar, and there remember that your brother has something against you,",MAT-4-23
47,"leave your offering there before the altar and go; first be reconciled to your brother, and then come and present your offering.",MAT-4-24
49,"``Make friends quickly with your opponent at law while you are with him on the way, so that your opponent may not hand you over to the judge, and the judge to the officer, and you be thrown into prison.",MAT-4-25
51,"``Truly I say to you, you will not come out of there until you have paid up the last cent.",MAT-4-26
53,"``You have heard that it was said, `YOU SHALL NOT COMMIT ADULTERY';",MAT-4-27
55,but I say to you that everyone who looks at a woman with lust for her has already committed adultery with her in his heart.,MAT-4-28
57,"``If your right eye makes you stumble, tear it out and throw it from you; for it is better for you to lose one of the parts of your body, than for your whole body to be thrown into hell.",MAT-4-29
59,"``If your right hand makes you stumble, cut it off and throw it from you; for it is better for you to lose one of the parts of your body, than for your whole body to go into hell.",MAT-4-30
61,"``It was said, `WHOEVER SENDS HIS WIFE AWAY, LET HIM GIVE HER A CERTIFICATE OF DIVORCE';",MAT-4-31
63,"but I say to you that everyone who divorces his wife, except for the reason of unchastity, makes her commit adultery; and whoever marries a divorced woman commits adultery.",MAT-4-32
65,"``Again, you have heard that the ancients were told, `YOU SHALL NOT MAKE FALSE VOWS, BUT SHALL FULFILL YOUR VOWS TO THE LORD.'",MAT-4-33
67,"``But I say to you, make no oath at all, either by heaven, for it is the throne of God,",MAT-4-34
69,"or by the earth, for it is the footstool of His feet, or by Jerusalem, for it is THE CITY OF THE GREAT KING.",MAT-4-35
71,"``Nor shall you make an oath by your head, for you cannot make one hair white or black.",MAT-4-36
73,"``But let your statement be, `Yes, yes' or `No, no'; anything beyond these is of evil.",MAT-4-37
75,"``You have heard that it was said, `AN EYE FOR AN EYE, AND A TOOTH FOR A TOOTH.'",MAT-4-38
77,"``But I say to you, do not resist an evil person; but whoever slaps you on your right cheek, turn the other to him also.",MAT-4-39
79,"``If anyone wants to sue you and take your shirt, let him have your coat also.",MAT-4-40
81,"``Whoever forces you to go one mile, go with him two.",MAT-4-41
83,"``Give to him who asks of you, and do not turn away from him who wants to borrow from you.",MAT-4-42
85,"``You have heard that it was said, `YOU SHALL LOVE YOUR NEIGHBOR and hate your enemy.'",MAT-4-43
87,"``But I say to you, love your enemies and pray for those who persecute you,",MAT-4-44
89,"so that you may be sons of your Father who is in heaven; for He causes His sun to rise on the evil and the good, and sends rain on the righteous and the unrighteous.",MAT-4-45
91,"``For if you love those who love you, what reward do you have? Do not even the tax collectors do the same?",MAT-4-46
93,"``If you greet only your brothers, what more are you doing than others? Do not even the Gentiles do the same?",MAT-4-47
95,"``Therefore you are to be perfect, as your heavenly Father is perfect.Copyrighted Material",MAT-4-48
1,``Beware of practicing your righteousness before men to be noticed by them; otherwise you have no reward with your Father who is in heaven.,MAT-5-1
3,"``So when you give to the poor, do not sound a trumpet before you, as the hypocrites do in the synagogues and in the streets, so that they may be honored by men. Truly I say to you, they have their reward in full.",MAT-5-2
5,"``But when you give to the poor, do not let your left hand know what your right hand is doing,",MAT-5-3
7,so that your giving will be in secret; and your Father who sees what is done in secret will reward you.,MAT-5-4
9,"``When you pray, you are not to be like the hypocrites; for they love to stand and pray in the synagogues and on the street corners so that they may be seen by men. Truly I say to you, they have their reward in full.",MAT-5-5
11,"``But you, when you pray, go into your inner room, close your door and pray to your Father who is in secret, and your Father who sees what is done in secret will reward you.",MAT-5-6
13,"``And when you are praying, do not use meaningless repetition as the Gentiles do, for they suppose that they will be heard for their many words.",MAT-5-7
15,``So do not be like them; for your Father knows what you need before you ask Him.,MAT-5-8
17,"``Pray, then, in this way: `Our Father who is in heaven, Hallowed be Your name.",MAT-5-9
19,"`Your kingdom come. Your will be done, On earth as it is in heaven.",MAT-5-10
21,`Give us this day our daily bread.,MAT-5-11
23,"`And forgive us our debts, as we also have forgiven our debtors.",MAT-5-12
25,"`And do not lead us into temptation, but deliver us from evil. [ For Yours is the kingdom and the power and the glory forever. Amen.']",MAT-5-13
27,"``For if you forgive others for their transgressions, your heavenly Father will also forgive you.",MAT-5-14
29,"``But if you do not forgive others, then your Father will not forgive your transgressions.",MAT-5-15
31,"``Whenever you fast, do not put on a gloomy face as the hypocrites do, for they neglect their appearance so that they will be noticed by men when they are fasting. Truly I say to you, they have their reward in full.",MAT-5-16
33,"``But you, when you fast, anoint your head and wash your face",MAT-5-17
35,"so that your fasting will not be noticed by men, but by your Father who is in secret; and your Father who sees what is done in secret will reward you.",MAT-5-18
37,"``Do not store up for yourselves treasures on earth, where moth and rust destroy, and where thieves break in and steal.",MAT-5-19
39,"``But store up for yourselves treasures in heaven, where neither moth nor rust destroys, and where thieves do not break in or steal;",MAT-5-20
41,"for where your treasure is, there your heart will be also.",MAT-5-21
43,"``The eye is the lamp of the body; so then if your eye is clear, your whole body will be full of light.",MAT-5-22
45,"``But if your eye is bad, your whole body will be full of darkness. If then the light that is in you is darkness, how great is the darkness!",MAT-5-23
47,"``No one can serve two masters; for either he will hate the one and love the other, or he will be devoted to one and despise the other. You cannot serve God and wealth.",MAT-5-24
49,"``For this reason I say to you, do not be worried about your life, as to what you will eat or what you will drink; nor for your body, as to what you will put on. Is not life more than food, and the body more than clothing?",MAT-5-25
51,"``Look at the birds of the air, that they do not sow, nor reap nor gather into barns, and yet your heavenly Father feeds them. Are you not worth much more than they?",MAT-5-26
53,``And who of you by being worried can add a single hour to his life?,MAT-5-27
55,"``And why are you worried about clothing? Observe how the lilies of the field grow; they do not toil nor do they spin,",MAT-5-28
57,yet I say to you that not even Solomon in all his glory clothed himself like one of these.,MAT-5-29
59,"``But if God so clothes the grass of the field, which is alive today and tomorrow is thrown into the furnace, will He not much more clothe you? You of little faith!",MAT-5-30
61,"``Do not worry then, saying, `What will we eat?' or `What will we drink?' or `What will we wear for clothing?'",MAT-5-31
63,``For the Gentiles eagerly seek all these things; for your heavenly Father knows that you need all these things.,MAT-5-32
65,"``But seek first His kingdom and His righteousness, and all these things will be added to you.",MAT-5-33
67,``So do not worry about tomorrow; for tomorrow will care for itself. Each day has enough trouble of its own.Copyrighted Material,MAT-5-34
1,``Do not judge so that you will not be judged.,MAT-6-1
3,"``For in the way you judge, you will be judged; and by your standard of measure, it will be measured to you.",MAT-6-2
5,"``Why do you look at the speck that is in your brother's eye, but do not notice the log that is in your own eye?",MAT-6-3
7,"``Or how can you say to your brother, `Let me take the speck out of your eye,' and behold, the log is in your own eye?",MAT-6-4
9,"``You hypocrite, first take the log out of your own eye, and then you will see clearly to take the speck out of your brother's eye.",MAT-6-5
11,"``Do not give what is holy to dogs, and do not throw your pearls before swine, or they will trample them under their feet, and turn and tear you to pieces.",MAT-6-6
13,"``Ask, and it will be given to you; seek, and you will find; knock, and it will be opened to you.",MAT-6-7
15,"``For everyone who asks receives, and he who seeks finds, and to him who knocks it will be opened.",MAT-6-8
17,"``Or what man is there among you who, when his son asks for a loaf, will give him a stone?",MAT-6-9
19,"``Or if he asks for a fish, he will not give him a snake, will he?",MAT-6-10
21,"``If you then, being evil, know how to give good gifts to your children, how much more will your Father who is in heaven give what is good to those who ask Him!",MAT-6-11
23,"``In everything, therefore, treat people the same way you want them to treat you, for this is the Law and the Prophets.",MAT-6-12
25,"``Enter through the narrow gate; for the gate is wide and the way is broad that leads to destruction, and there are many who enter through it.",MAT-6-13
27,"``For the gate is small and the way is narrow that leads to life, and there are few who find it.",MAT-6-14
29,"``Beware of the false prophets, who come to you in sheep's clothing, but inwardly are ravenous wolves.",MAT-6-15
31,"``You will know them by their fruits. Grapes are not gathered from thorn bushes nor figs from thistles, are they?",MAT-6-16
33,"``So every good tree bears good fruit, but the bad tree bears bad fruit.",MAT-6-17
35,"``A good tree cannot produce bad fruit, nor can a bad tree produce good fruit.",MAT-6-18
37,``Every tree that does not bear good fruit is cut down and thrown into the fire.,MAT-6-19
39,"``So then, you will know them by their fruits.",MAT-6-20
41,"``Not everyone who says to Me, `Lord, Lord,' will enter the kingdom of heaven, but he who does the will of My Father who is in heaven will enter.",MAT-6-21
43,"``Many will say to Me on that day, `Lord, Lord, did we not prophesy in Your name, and in Your name cast out demons, and in Your name perform many miracles?'",MAT-6-22
45,"``And then I will declare to them, `I never knew you; DEPART FROM ME, YOU WHO PRACTICE LAWLESSNESS.'",MAT-6-23
47,"``Therefore everyone who hears these words of Mine and acts on them, may be compared to a wise man who built his house on the rock.",MAT-6-24
49,"``And the rain fell, and the floods came, and the winds blew and slammed against that house; and yet it did not fall, for it had been founded on the rock.",MAT-6-25
51,"``Everyone who hears these words of Mine and does not act on them, will be like a foolish man who built his house on the sand.",MAT-6-26
53,"``The rain fell, and the floods came, and the winds blew and slammed against that house; and it fell--and great was its fall.""",MAT-6-27
55,"When Jesus had finished these words, the crowds were amazed at His teaching;",MAT-6-28
57,"for He was teaching them as one having authority, and not as their scribes.Copyrighted Material",MAT-6-29
1,"When Jesus came down from the mountain, large crowds followed Him.",MAT-7-1
3,"And a leper came to Him and bowed down before Him, and said, ``Lord, if You are willing, You can make me clean.""",MAT-7-2
5,"Jesus stretched out His hand and touched him, saying, ``I am willing; be cleansed."" And immediately his leprosy was cleansed.",MAT-7-3
7,"And Jesus said to him, ``See that you tell no one; but go, show yourself to the priest and present the offering that Moses commanded, as a testimony to them.""",MAT-7-4
9,"And when Jesus entered Capernaum, a centurion came to Him, imploring Him,",MAT-7-5
11,"and saying, ``Lord, my servant is lying paralyzed at home, fearfully tormented.""",MAT-7-6
13,"Jesus said to him, ``I will come and heal him.""",MAT-7-7
15,"But the centurion said, ``Lord, I am not worthy for You to come under my roof, but just say the word, and my servant will be healed.",MAT-7-8
17,"``For I also am a man under authority, with soldiers under me; and I say to this one, `Go!' and he goes, and to another, `Come!' and he comes, and to my slave, `Do this!' and he does it. """,MAT-7-9
19,"Now when Jesus heard this, He marveled and said to those who were following, ``Truly I say to you, I have not found such great faith with anyone in Israel.",MAT-7-10
21,"``I say to you that many will come from east and west, and recline at the table with Abraham, Isaac and Jacob in the kingdom of heaven;",MAT-7-11
23,"but the sons of the kingdom will be cast out into the outer darkness; in that place there will be weeping and gnashing of teeth.""",MAT-7-12
25,"And Jesus said to the centurion, ``Go; it shall be done for you as you have believed."" And the servant was healed that very moment.",MAT-7-13
27,"When Jesus came into Peter's home, He saw his mother-in-law lying sick in bed with a fever.",MAT-7-14
29,"He touched her hand, and the fever left her; and she got up and waited on Him.",MAT-7-15
31,"When evening came, they brought to Him many who were demon-possessed; and He cast out the spirits with a word, and healed all who were ill.",MAT-7-16
33,"This was to fulfill what was spoken through Isaiah the prophet: ``HE HIMSELF TOOK OUR INFIRMITIES AND CARRIED AWAY OUR DISEASES.""",MAT-7-17
35,"Now when Jesus saw a crowd around Him, He gave orders to depart to the other side of the sea.",MAT-7-18
37,"Then a scribe came and said to Him, ``Teacher, I will follow You wherever You go.""",MAT-7-19
39,"Jesus said to him, ``The foxes have holes and the birds of the air have nests, but the Son of Man has nowhere to lay His head.""",MAT-7-20
41,"Another of the disciples said to Him, ``Lord, permit me first to go and bury my father.""",MAT-7-21
43,"But Jesus said to him, ``Follow Me, and allow the dead to bury their own dead.""",MAT-7-22
45,"When He got into the boat, His disciples followed Him.",MAT-7-23
47,"And behold, there arose a great storm on the sea, so that the boat was being covered with the waves; but Jesus Himself was asleep.",MAT-7-24
49,"And they came to Him and woke Him, saying, ``Save us, Lord; we are perishing!""",MAT-7-25
51,"He said to them, ``Why are you afraid, you men of little faith?"" Then He got up and rebuked the winds and the sea, and it became perfectly calm.",MAT-7-26
53,"The men were amazed, and said, ``What kind of a man is this, that even the winds and the sea obey Him?""",MAT-7-27
55,"When He came to the other side into the country of the Gadarenes, two men who were demon-possessed met Him as they were coming out of the tombs. They were so extremely violent that no one could pass by that way.",MAT-7-28
57,"And they cried out, saying, ``What business do we have with each other, Son of God? Have You come here to torment us before the time?""",MAT-7-29
59,Now there was a herd of many swine feeding at a distance from them.,MAT-7-30
61,"The demons began to entreat Him, saying, ``If You are going to cast us out, send us into the herd of swine.""",MAT-7-31
63,"And He said to them, ``Go!"" And they came out and went into the swine, and the whole herd rushed down the steep bank into the sea and perished in the waters.",MAT-7-32
65,"The herdsmen ran away, and went to the city and reported everything, including what had happened to the demoniacs.",MAT-7-33
67,"And behold, the whole city came out to meet Jesus; and when they saw Him, they implored Him to leave their region.Copyrighted Material",MAT-7-34
1,"Getting into a boat, Jesus crossed over the sea and came to His own city.",MAT-8-1
3,"And they brought to Him a paralytic lying on a bed. Seeing their faith, Jesus said to the paralytic, ``Take courage, son; your sins are forgiven.""",MAT-8-2
5,"And some of the scribes said to themselves, ``This fellow blasphemes.""",MAT-8-3
7,"And Jesus knowing their thoughts said, ``Why are you thinking evil in your hearts?",MAT-8-4
9,"``Which is easier, to say, `Your sins are forgiven,' or to say, `Get up, and walk'?",MAT-8-5
11,"``But so that you may know that the Son of Man has authority on earth to forgive sins""--then He said to the paralytic, ``Get up, pick up your bed and go home.""",MAT-8-6
13,And he got up and went home.,MAT-8-7
15,"But when the crowds saw this, they were awestruck, and glorified God, who had given such authority to men.",MAT-8-8
17,"As Jesus went on from there, He saw a man called Matthew, sitting in the tax collector's booth; and He said to him, ``Follow Me!"" And he got up and followed Him.",MAT-8-9
19,"Then it happened that as Jesus was reclining at the table in the house, behold, many tax collectors and sinners came and were dining with Jesus and His disciples.",MAT-8-10
21,"When the Pharisees saw this, they said to His disciples, ``Why is your Teacher eating with the tax collectors and sinners?""",MAT-8-11
23,"But when Jesus heard this, He said, `` It is not those who are healthy who need a physician, but those who are sick.",MAT-8-12
25,"``But go and learn what this means: `I DESIRE COMPASSION, AND NOT SACRIFICE,' for I did not come to call the righteous, but sinners.""",MAT-8-13
27,"Then the disciples of John came to Him, asking, ``Why do we and the Pharisees fast, but Your disciples do not fast?""",MAT-8-14
29,"And Jesus said to them, ``The attendants of the bridegroom cannot mourn as long as the bridegroom is with them, can they? But the days will come when the bridegroom is taken away from them, and then they will fast.",MAT-8-15
31,"``But no one puts a patch of unshrunk cloth on an old garment; for the patch pulls away from the garment, and a worse tear results.",MAT-8-16
33,"``Nor do people put new wine into old wineskins; otherwise the wineskins burst, and the wine pours out and the wineskins are ruined; but they put new wine into fresh wineskins, and both are preserved.""",MAT-8-17
35,"While He was saying these things to them, a synagogue official came and bowed down before Him, and said, ``My daughter has just died; but come and lay Your hand on her, and she will live.""",MAT-8-18
37,"Jesus got up and began to follow him, and so did His disciples.",MAT-8-19
39,"And a woman who had been suffering from a hemorrhage for twelve years, came up behind Him and touched the fringe of His cloak;",MAT-8-20
41,"for she was saying to herself, ``If I only touch His garment, I will get well.""",MAT-8-21
43,"But Jesus turning and seeing her said, ``Daughter, take courage; your faith has made you well."" At once the woman was made well.",MAT-8-22
45,"When Jesus came into the official's house, and saw the flute-players and the crowd in noisy disorder,",MAT-8-23
47,"He said, ``Leave; for the girl has not died, but is asleep."" And they began laughing at Him.",MAT-8-24
49,"But when the crowd had been sent out, He entered and took her by the hand, and the girl got up.",MAT-8-25
51,This news spread throughout all that land.,MAT-8-26
53,"As Jesus went on from there, two blind men followed Him, crying out, ``Have mercy on us, Son of David!""",MAT-8-27
55,"When He entered the house, the blind men came up to Him, and Jesus said to them, ``Do you believe that I am able to do this?"" They said to Him, ``Yes, Lord.""",MAT-8-28
57,"Then He touched their eyes, saying, ``It shall be done to you according to your faith.""",MAT-8-29
59,"And their eyes were opened. And Jesus sternly warned them: ``See that no one knows about this! """,MAT-8-30
61,But they went out and spread the news about Him throughout all that land.,MAT-8-31
63,"As they were going out, a mute, demon-possessed man was brought to Him.",MAT-8-32
65,"After the demon was cast out, the mute man spoke; and the crowds were amazed, and were saying, ``Nothing like this has ever been seen in Israel.""",MAT-8-33
67,"But the Pharisees were saying, ``He casts out the demons by the ruler of the demons.""",MAT-8-34
69,"Jesus was going through all the cities and villages, teaching in their synagogues and proclaiming the gospel of the kingdom, and healing every kind of disease and every kind of sickness.",MAT-8-35
71,"Seeing the people, He felt compassion for them, because they were distressed and dispirited like sheep without a shepherd.",MAT-8-36
73,"Then He said to His disciples, ``The harvest is plentiful, but the workers are few.",MAT-8-37
75,"``Therefore beseech the Lord of the harvest to send out workers into His harvest.""Copyrighted Material",MAT-8-38
1,"Jesus summoned His twelve disciples and gave them authority over unclean spirits, to cast them out, and to heal every kind of disease and every kind of sickness.",MAT-9-1
3,"Now the names of the twelve apostles are these: The first, Simon, who is called Peter, and Andrew his brother; and James the son of Zebedee, and John his brother;",MAT-9-2
5,"Philip and Bartholomew; Thomas and Matthew the tax collector; James the son of Alphaeus, and Thaddaeus;",MAT-9-3
7,"Simon the Zealot, and Judas Iscariot, the one who betrayed Him.",MAT-9-4
9,"These twelve Jesus sent out after instructing them: ``Do not go in the way of the Gentiles, and do not enter any city of the Samaritans;",MAT-9-5
11,but rather go to the lost sheep of the house of Israel.,MAT-9-6
13,"``And as you go, preach, saying, `The kingdom of heaven is at hand.'",MAT-9-7
15,"``Heal the sick, raise the dead, cleanse the lepers, cast out demons. Freely you received, freely give.",MAT-9-8
17,"``Do not acquire gold, or silver, or copper for your money belts,",MAT-9-9
19,"or a bag for your journey, or even two coats, or sandals, or a staff; for the worker is worthy of his support.",MAT-9-10
21,"``And whatever city or village you enter, inquire who is worthy in it, and stay at his house until you leave that city.",MAT-9-11
23,"``As you enter the house, give it your greeting.",MAT-9-12
25,"``If the house is worthy, give it your blessing of peace. But if it is not worthy, take back your blessing of peace.",MAT-9-13
27,"``Whoever does not receive you, nor heed your words, as you go out of that house or that city, shake the dust off your feet.",MAT-9-14
29,"``Truly I say to you, it will be more tolerable for the land of Sodom and Gomorrah in the day of judgment than for that city.",MAT-9-15
31,"``Behold, I send you out as sheep in the midst of wolves; so be shrewd as serpents and innocent as doves.",MAT-9-16
33,"``But beware of men, for they will hand you over to the courts and scourge you in their synagogues;",MAT-9-17
